,Team,"Jul 12, 2010","Jul 2, 2012","Jun 1, 2013","Dec 6, 2013","Jun 12, 2014",Game 2,Game 3,Round of 16,Quarters,Semis,Finals,Result
0,Germany,+800,+650,+500,+500,+600,+400,+350,+375,+425,+240,-155,**  WINNER  **
1,Argentina,+550,+500,+450,+450,+400,+350,+400,+400,+375,+250,+135,
2,Brazil,+350,+350,+330,+300,+275,+330,+330,+300,+275,+260,,
3,Netherlands,+1200,+1400,+1800,+2500,+3300,+1100,+1000,+750,+450,+333,,
4,France,+2200,+2500,+3000,+2000,+2200,+1600,+800,+750,+750,,,
5,Belgium,+20000,+5000,+2000,+1400,+1800,+1800,+1800,+2000,+1200,,,
6,Colombia,+10000,+10000,+2500,+2200,+3300,+3300,+2500,+2000,+1200,,,
7,Costa Rica,,+100000,+150000,+100000,+100000,+50000,+6600,+5000,+5000,,,
8,Chile,+4000,+4000,+6600,+4000,+4000,+3300,+2000,+2800,,,,
9,Mexico,+6600,+6600,+4000,+12500,+15000,+10000,+6600,+3000,,,,
10,Uruguay,+4000,+2000,+3300,+2800,+2800,+8000,+4000,+3300,,,,
11,USA,+5000,+8000,+8000,+12500,+12500,+15000,+8000,+8000,,,,
12,Switzerland,+12500,+20000,+20000,+10000,+10000,+8000,+10000,+8000,,,,
13,Greece,+15000,+50000,+30000,+20000,+20000,+50000,+50000,+10000,,,,
14,Nigeria,+15000,+25000,+25000,+20000,+20000,+30000,+20000,+20000,,,,
15,Algeria,+30000,+75000,+75000,+75000,+75000,+100000,+25000,+20000,,,,
16,Italy,+1800,+1600,+2000,+2500,+2200,+1600,+2800,,,,,
17,Portugal,+2500,+2500,+3300,+3300,+2500,+4000,+8000,,,,,
18,Ivory Coast,+6600,+10000,+10000,+15000,+12500,+8000,+10000,,,,,
19,Croatia,+6600,+10000,+6600,+12500,+15000,+15000,+10000,,,,,
20,Russia,+4000,+6600,+4000,+6600,+8000,+10000,+20000,,,,,
21,Ecuador,,+15000,+10000,+12500,+15000,+30000,+20000,,,,,
22,Ghana,+12500,+10000,+12500,+12500,+20000,+30000,+20000,,,,,
23,Japan,+15000,+15000,+15000,+12500,+12500,+25000,+30000,,,,,
24,South Korea,+12500,+25000,+25000,+25000,+30000,+30000,+100000,,,,,
25,Iran,,,,+150000,+150000,+150000,+150000,,,,,
26,Spain,+600,+500,+500,+650,+600,+1100,,,,,,
27,England,+1400,+1800,+2000,+2800,+2800,+2800,,,,,,
28,Bosnia & Herzegovina,,+50000,+25000,+15000,+15000,+15000,,,,,,
29,Cameroon,+15000,+20000,+25000,+40000,+50000,+75000,,,,,,
30,Australia,+10000,+20000,+20000,+50000,+75000,+200000,,,,,,
31,Honduras,+50000,+100000,+100000,+100000,+100000,+300000,,,,,,
32,Sweden,+8000,+15000,+15000,,,,,,,,,
33,Serbia,+8000,+10000,+20000,,,,,,,,,
34,Czech Republic,+10000,+15000,+20000,,,,,,,,,
35,Denmark,+12500,+20000,+20000,,,,,,,,,
36,Ukraine,+8000,+20000,+25000,,,,,,,,,
37,Poland,+10000,+25000,+25000,,,,,,,,,
38,Egypt,+20000,+25000,+25000,,,,,,,,,
39,Turkey,+6600,+15000,+30000,,,,,,,,,
40,Norway,+15000,+25000,+30000,,,,,,,,,
41,Paraguay,+5000,+6600,+35000,,,,,,,,,
42,Republic of Ireland,+10000,+50000,+40000,,,,,,,,,
43,Austria,+40000,+50000,+40000,,,,,,,,,
44,Romania,+10000,+50000,+50000,,,,,,,,,
45,Slovakia,+20000,+50000,+50000,,,,,,,,,
46,Bulgaria,,+50000,+50000,,,,,,,,,
47,Slovenia,+15000,+75000,+75000,,,,,,,,,
48,Israel,,+75000,+100000,,,,,,,,,
49,Hungary,,+100000,+100000,,,,,,,,,
50,Wales,+50000,+100000,+200000,,,,,,,,,
51,New Zealand,+75000,+100000,+200000,,,,,,,,,
52,Northern Ireland,+75000,+100000,+300000,,,,,,,,,
53,Finland,,+100000,+500000,,,,,,,,,
54,South Africa,+20000,+50000,,,,,,,,,,
55,China,+75000,+50000,,,,,,,,,,
56,Scotland,+20000,+75000,,,,,,,,,,
57,North Korea,+100000,+100000,,,,,,,,,,
58,Canada,,+100000,,,,,,,,,,
