,home,away,league,game_id,season,temp,weather_desc,date
0,Stoke City,Leicester City,FA_Premier_League,100,2017-2018,10C,Showers,04-Nov-17
1,Huddersfield Town,West Bromwich Albion,FA_Premier_League,101,2017-2018,6C,Showers,04-Nov-17
2,Newcastle United,Bournemouth,FA_Premier_League,102,2017-2018,9C,Showers,04-Nov-17
3,Southampton,Burnley,FA_Premier_League,103,2017-2018,12C,Showers,04-Nov-17
4,Swansea City,Brighton & Hove Albion,FA_Premier_League,104,2017-2018,9C,Cloudy,04-Nov-17
5,West Ham United,Liverpool,FA_Premier_League,105,2017-2018,12C,Showers,04-Nov-17
6,Tottenham Hotspur,Crystal Palace,FA_Premier_League,106,2017-2018,4C,Showers,05-Nov-17
7,Manchester City,Arsenal,FA_Premier_League,107,2017-2018,4C,Showers,05-Nov-17
8,Chelsea,Manchester United,FA_Premier_League,108,2017-2018,4C,Cloudy,05-Nov-17
9,Everton,Watford,FA_Premier_League,109,2017-2018,7C,Showers,05-Nov-17
10,Arsenal,Tottenham Hotspur,FA_Premier_League,110,2017-2018,4C,Cloudy,18-Nov-17
11,Bournemouth,Huddersfield Town,FA_Premier_League,111,2017-2018,6C,Cloudy,18-Nov-17
12,Burnley,Swansea City,FA_Premier_League,112,2017-2018,7C,Breezy,18-Nov-17
13,Crystal Palace,Everton,FA_Premier_League,113,2017-2018,8C,Cloudy,18-Nov-17
14,Leicester City,Manchester City,FA_Premier_League,114,2017-2018,5C,Cloudy,18-Nov-17
15,Liverpool,Southampton,FA_Premier_League,115,2017-2018,8C,Cloudy,18-Nov-17
16,West Bromwich Albion,Chelsea,FA_Premier_League,116,2017-2018,5C,Cloudy,18-Nov-17
17,Manchester United,Newcastle United,FA_Premier_League,117,2017-2018,6C,Cloudy,18-Nov-17
18,Watford,West Ham United,FA_Premier_League,118,2017-2018,2C,Cloudy,19-Nov-17
19,Brighton & Hove Albion,Stoke City,FA_Premier_League,119,2017-2018,11C,Cloudy,20-Nov-17
20,West Ham United,Leicester City,FA_Premier_League,120,2017-2018,7C,Cloudy,24-Nov-17
21,Crystal Palace,Stoke City,FA_Premier_League,121,2017-2018,0C,Cloudy,25-Nov-17
22,Manchester United,Brighton & Hove Albion,FA_Premier_League,122,2017-2018,1C,Cloudy,25-Nov-17
23,Newcastle United,Watford,FA_Premier_League,123,2017-2018,1C,Cloudy,25-Nov-17
24,Swansea City,Bournemouth,FA_Premier_League,124,2017-2018,1C,Clear,25-Nov-17
25,Tottenham Hotspur,West Bromwich Albion,FA_Premier_League,125,2017-2018,0C,Cloudy,25-Nov-17
26,Liverpool,Chelsea,FA_Premier_League,126,2017-2018,6C,Showers,25-Nov-17
27,Southampton,Everton,FA_Premier_League,127,2017-2018,3C,Clear,26-Nov-17
28,Burnley,Arsenal,FA_Premier_League,128,2017-2018,3C,Cloudy,26-Nov-17
29,Huddersfield Town,Manchester City,FA_Premier_League,129,2017-2018,3C,Cloudy,26-Nov-17
30,Brighton & Hove Albion,Crystal Palace,FA_Premier_League,130,2017-2018,3C,Cloudy,28-Nov-17
